num_joins,num_where,has_order_by,has_group_by,query_length,rows_examined,using_filesort,using_temporary,index_count,buffer_pool_hit_ratio,connections_count,hour_of_day,day_of_week,access_type,is_slow,execution_time
3,1,0,0,246,208888,0,0,0.0,0.9665,2,1,4,UNKNOWN,1,7.09516
2,0,1,1,247,600024,0,0,0.0,0.9665,2,1,4,UNKNOWN,1,1.70092
0,1,0,0,71,600024,0,0,0.0,0.9764,2,10,4,UNKNOWN,1,1.34386
0,1,0,0,69,346924,0,0,0.0,0.9771,2,10,4,UNKNOWN,1,1.72391
2,1,1,1,183,156092,0,0,0.0,0.9999,2,23,4,UNKNOWN,1,9.73758
1,1,1,1,155,56401,0,0,0.0,0.9999,2,23,4,UNKNOWN,1,3.91638
1,0,0,1,126,60013,0,0,0.0,0.9999,2,23,4,UNKNOWN,1,4.46141
2,0,1,1,154,202674,0,0,0.0,0.9999,2,23,4,UNKNOWN,1,9.52163
0,1,0,0,73,600024,0,0,0.0,0.9999,2,23,4,UNKNOWN,1,1.23286
2,0,1,1,171,170450,0,0,0.0,0.9438,2,0,5,UNKNOWN,1,17.4179
1,0,0,1,105,116970,0,0,0.0,0.9461,2,0,5,UNKNOWN,1,7.27361
2,1,1,1,197,156092,0,0,0.0,0.9636,2,1,5,UNKNOWN,1,16.5146
2,1,1,1,273,21918,0,0,0.0,0.9683,2,1,5,UNKNOWN,1,151.324
3,1,1,1,259,27092,0,0,0.0,0.9683,2,1,5,UNKNOWN,1,22.3697
2,1,1,1,250,32007,0,0,0.0,0.9683,2,1,5,UNKNOWN,1,5.08381
0,4,1,0,283,178261,0,0,0.0,0.9683,2,1,5,UNKNOWN,1,1.19012
0,2,1,0,228,670028,0,0,0.0,0.9709,2,1,5,UNKNOWN,1,3.69243
1,3,1,0,383,992962,0,0,0.0,0.9677,2,1,5,UNKNOWN,1,8.6143
0,1,1,0,207,1200048,0,0,0.0,0.9678,2,1,5,UNKNOWN,1,5.06863
0,0,0,1,158,372333,0,0,0.0,0.9668,2,1,5,UNKNOWN,1,14.4698
0,4,1,0,539,312392,0,0,0.0,0.9695,2,1,5,UNKNOWN,1,4.20464
1,1,1,1,314,42564833,0,0,0.0,0.9816,2,1,5,UNKNOWN,1,17.8828
0,0,1,1,207,324538,0,0,0.0,0.9812,2,1,5,UNKNOWN,1,5.39365
2,0,1,1,280,17194,0,0,0.0,0.983,2,1,5,UNKNOWN,1,6.08551
0,0,1,0,51,600024,0,0,0.0,0.9884,2,1,5,UNKNOWN,1,2.64323
0,1,0,0,111,300012,0,0,0.0,0.9884,2,1,5,UNKNOWN,1,1.11927
2,1,0,0,293,138806,0,0,0.0,0.9884,2,1,5,UNKNOWN,1,1.2481
3,0,0,1,245,58,0,0,0.0,0.9884,2,1,5,UNKNOWN,1,3.52561
0,0,0,1,173,0,0,0,0.0,0.9884,2,1,5,UNKNOWN,1,1.38516
0,1,0,0,78,300012,0,0,0.0,0.9899,2,1,5,UNKNOWN,1,1.40976
0,1,0,0,54,300012,0,0,0.0,0.9899,2,1,5,UNKNOWN,1,1.33597
0,0,1,0,37,600024,0,0,0.0,0.9899,2,1,5,UNKNOWN,1,3.18484
0,1,0,0,78,346924,0,0,0.0,0.9899,2,1,5,UNKNOWN,1,1.84452
0,0,0,1,96,303023,0,0,0.0,0.991,2,1,5,UNKNOWN,1,3.14272
0,0,1,0,121,600024,0,0,0.0,0.991,2,1,5,UNKNOWN,1,2.34152
0,1,0,0,61,300012,0,0,0.0,0.991,2,1,5,UNKNOWN,1,1.99851
0,1,0,0,162,300012,0,0,0.0,0.991,2,1,5,UNKNOWN,1,2.28161
0,1,0,0,192,300012,0,0,0.0,0.991,2,1,5,UNKNOWN,1,1.00036
0,1,0,0,145,300012,0,0,0.0,0.991,2,1,5,UNKNOWN,1,2.09399
0,4,0,0,268,159024,0,0,0.0,0.991,2,1,5,UNKNOWN,1,1.23168
0,1,0,0,270,300012,0,0,0.0,0.991,2,1,5,UNKNOWN,1,1.06514
0,0,1,0,253,1200048,0,0,0.0,0.9912,2,1,5,UNKNOWN,1,8.12897
1,1,1,0,195,1636407,0,0,0.0,0.9913,2,1,5,UNKNOWN,1,8.95824
0,1,0,0,162,300012,0,0,0.0,0.9913,2,1,5,UNKNOWN,1,1.21056
3,1,0,0,215,1399,0,0,0.0,0.9913,2,1,5,UNKNOWN,1,3.68723
