num_joins,num_where,has_order_by,has_group_by,query_length,rows_examined,buffer_pool_hit_ratio,connections_count,hour_of_day,day_of_week,num_subqueries,num_predicates,num_aggregates,is_peak_hour,is_slow
3,1,0,0,246,0,0.9665,2,1,4,0,0,0,0,1
2,0,1,1,247,0,0.9665,2,1,4,0,0,2,0,1
0,1,0,0,71,0,0.9764,2,10,4,1,0,1,1,1
0,1,0,0,69,0,0.9771,2,10,4,1,0,0,1,1
2,1,1,1,183,0,0.9999,2,23,4,0,0,2,0,1
1,1,1,1,155,0,0.9999,2,23,4,0,0,2,0,1
1,0,0,1,126,0,0.9999,2,23,4,0,0,2,0,1
2,0,1,1,154,0,0.9999,2,23,4,0,0,2,0,1
0,1,0,0,73,0,0.9999,2,23,4,0,0,1,0,1
2,0,1,1,171,0,0.9438,2,0,5,0,0,2,1,1
1,0,0,1,105,0,0.9461,2,0,5,0,0,1,1,1
2,1,1,1,197,0,0.9636,2,1,5,0,0,2,0,1
2,1,1,1,273,0,0.9683,2,1,5,0,0,3,0,1
3,1,1,1,259,0,0.9683,2,1,5,0,0,1,0,1
2,1,1,1,250,0,0.9683,2,1,5,0,0,1,0,1
0,4,1,0,283,0,0.9683,2,1,5,3,0,3,0,1
0,2,1,0,228,0,0.9709,2,1,5,2,0,2,0,1
1,3,1,0,383,0,0.9677,2,1,5,1,0,0,0,1
0,1,1,0,207,0,0.9678,2,1,5,0,0,0,0,1
0,0,0,1,158,0,0.9668,2,1,5,0,0,3,0,1
0,4,1,0,539,0,0.9695,2,1,5,4,0,4,0,1
1,1,1,1,314,0,0.9816,2,1,5,1,0,1,0,1
0,0,1,1,207,0,0.9812,2,1,5,0,0,1,0,1
2,0,1,1,280,0,0.983,2,1,5,0,0,1,0,1
0,0,1,0,51,0,0.9884,2,1,5,0,0,0,0,1
0,1,0,0,111,0,0.9884,2,1,5,1,0,1,0,1
2,1,0,0,293,0,0.9884,2,1,5,0,0,0,0,1
3,0,0,1,245,0,0.9884,2,1,5,0,0,1,0,1
0,0,0,1,173,0,0.9884,2,1,5,0,0,3,0,1
0,1,0,0,78,0,0.9899,2,1,5,0,0,0,0,1
0,1,0,0,54,0,0.9899,2,1,5,0,0,0,0,1
0,0,1,0,37,0,0.9899,2,1,5,0,0,0,0,1
0,1,0,0,78,0,0.9899,2,1,5,1,0,0,0,1
0,0,0,1,96,0,0.991,2,1,5,0,0,2,0,1
0,0,1,0,121,0,0.991,2,1,5,0,0,1,0,1
0,1,0,0,61,0,0.991,2,1,5,0,0,0,0,1
0,1,0,0,162,0,0.991,2,1,5,0,0,0,0,1
0,1,0,0,192,0,0.991,2,1,5,0,0,0,0,1
0,1,0,0,145,0,0.991,2,1,5,0,0,0,0,1
0,4,0,0,268,0,0.991,2,1,5,4,0,4,0,1
0,1,0,0,270,0,0.991,2,1,5,0,0,0,0,1
0,0,1,0,253,0,0.9912,2,1,5,0,0,1,0,1
1,1,1,0,195,0,0.9913,2,1,5,0,0,0,0,1
0,1,0,0,162,0,0.9913,2,1,5,0,0,0,0,1
3,1,0,0,215,0,0.9913,2,1,5,0,0,0,0,1
0,0,1,1,163,0,0.9913,2,1,5,0,0,2,0,1
0,0,1,0,280,0,0.9913,2,1,5,0,0,2,0,1
3,1,1,0,264,0,0.9917,2,1,5,0,0,0,0,1
4,0,0,1,383,0,0.9917,2,1,5,0,0,3,0,1
0,3,0,0,178,0,0.9917,2,1,5,2,0,0,0,1
0,0,1,1,189,0,0.9917,2,1,5,0,0,2,0,1
3,0,0,1,376,0,0.9917,2,1,5,0,0,2,0,1
3,1,0,1,417,0,0.9917,2,1,5,0,0,2,0,1
