query_length_log,num_joins,num_tables,num_where,has_group_by,has_order_by,has_limit,num_aggregates,num_subqueries,estimated_table_size_mb,rows_examined,has_index_used,index_count,buffer_pool_hit_ratio,connections_count,is_peak_hour,joins_per_table,complexity_score,is_slow
4.086042874839369,1,2,5,1,0,1,2,0,1202.0682015175755,25153377,0,0,0.771,13,0,0.5,7.0,1
7.132308575565024,0,2,6,1,0,1,4,1,2756.24,247371,1,6,0.807,9,1,0.0,11.0,1
6.978743444923086,2,3,3,0,0,0,0,3,127.3,23090,1,4,0.95,17,0,0.667,13.0,1
4.863120003667669,1,3,2,1,0,0,2,0,173.68,26136,1,1,0.825,18,0,0.333,7.0,1
6.531264688754887,1,2,5,0,0,0,0,1,32.09,4436,0,2,0.777,16,0,0.5,5.0,1
7.165356480148374,0,2,8,0,1,1,0,0,36.35,6361,1,1,0.927,14,0,0.0,1.0,0
3.6179748232276454,0,1,7,0,1,0,0,2,61.2,7805,1,1,0.833,14,0,0.0,7.0,0
6.671818444358436,2,3,4,0,0,0,0,0,29.25,4217,0,1,0.973,16,0,0.667,4.0,0
5.084610025781388,0,2,3,0,0,0,0,0,14.72,2214,0,4,0.948,26,1,0.0,0.0,0
8.16059141241806,1,2,2,0,0,1,0,0,137.57,22072,0,2,0.901,18,0,0.5,2.0,0
8.31384175126603,0,2,3,1,0,0,4,0,191.66,12669,1,2,0.881,11,1,0.0,8.0,1
7.6993065143336015,4,6,0,0,1,0,1,1,2.53,500,1,1,0.876,25,1,0.667,13.5,1
5.4031164673829,1,3,2,1,1,1,2,1,64.59,5242,1,2,0.837,12,0,0.333,11.0,0
6.441011334741953,1,2,1,1,0,1,1,0,39.3,2490,0,4,0.768,20,0,0.5,5.5,0
6.604577588837385,2,4,3,1,1,0,4,0,9.44,1858,0,1,0.96,10,1,0.5,13.0,0
6.037338668804181,0,2,4,0,1,1,0,0,86.1,6598,0,0,0.864,12,0,0.0,1.0,0
8.173861584585236,5,1,2,0,0,1,0,1,13.378621112183254,9386,1,6,0.853,18,0,0.0,0.0,0
3.6269317783017243,0,1,2,1,0,0,1,0,226.1,23558,1,2,0.704,13,0,0.0,3.5,0
6.68145676989624,3,4,2,0,1,1,0,1,48.66,5342,1,1,0.847,18,0,0.75,10.0,0
4.211246843435981,4,3,3,1,1,0,2,0,6477.17021349344,12815014,1,4,0.712,18,1,0.333,7.0,1
4.427627578515605,1,3,2,0,0,0,0,1,9.86,878,0,2,0.866,9,0,0.333,5.0,1
6.320370144167589,1,2,0,1,1,0,1,0,16.05,1881,1,2,0.838,15,0,0.5,6.5,0
4.15043120065316,2,4,3,1,1,0,1,1,0.67,37,1,3,0.878,17,1,0.5,11.5,0
6.646993190676312,4,1,4,1,1,0,1,0,7397.513951301675,16331275,1,4,0.819,13,1,0.0,4.5,1
6.478193703039222,2,4,2,1,1,0,3,0,12.61,1364,1,6,0.965,7,1,0.5,11.5,0
3.7612893964301186,2,3,4,0,0,0,1,0,1567.43,255860,1,5,0.679,15,0,0.667,5.5,1
4.175490973693345,2,4,2,1,1,0,4,0,6582.573276688772,10805323,0,0,0.839,14,0,0.5,13.0,1
4.3213289896549645,0,2,2,0,0,1,1,1,54.08,4592,0,2,0.869,17,0,0.0,4.5,0
4.404884763547448,1,3,2,1,0,1,0,1,596.98,64871,0,2,0.857,16,1,0.333,7.0,1
5.9918388636973985,1,2,1,1,0,1,2,0,20.63,2697,0,2,0.916,11,0,0.5,7.0,0
8.135175064834225,5,5,0,0,0,1,0,2,94.89953549905223,363,1,6,0.978,18,1,0.6,9.0,0
6.547821669899484,4,5,2,0,0,1,1,0,150.68,28597,1,4,0.745,13,0,0.8,9.5,0
4.6324788759896895,5,1,1,1,1,0,0,0,5144.844106250911,3009158,1,4,0.777,12,1,0.0,1.0,1
4.512402800826187,0,2,5,1,1,0,1,0,60.87,7345,0,2,0.864,15,0,0.0,4.5,0
6.433042315877371,5,3,0,1,1,0,1,0,5852.238824745178,11744916,1,2,0.893,14,1,0.333,3.5,1
6.70486038672666,0,5,1,0,1,1,0,0,2.584162266311297,689,0,0,0.9299782709208502,16,1,0.8,9.0,0
3.588662995250818,3,4,3,1,0,1,0,0,6817.198180410323,9572013,0,0,0.74,16,0,0.75,8.0,1
7.694490432229671,0,3,2,1,1,1,3,0,4.31047489814327,627,0,0,0.9599987955215163,16,1,0.333,15.5,0
8.042252806668142,5,1,2,1,1,0,2,0,7077.242923117105,6189375,1,3,0.815,10,1,0.0,6.0,1
6.489499894055426,2,3,5,0,0,1,1,0,7.09,1279,1,3,0.774,12,0,0.667,5.5,1
3.6946498166283375,0,2,2,1,0,1,1,0,109.76,17183,0,2,0.823,6,1,0.0,3.5,0
4.127751073813267,2,3,2,0,0,0,0,0,81.77,15299,1,2,0.775,12,0,0.667,4.0,0
7.475930973843518,1,3,3,0,0,0,0,3,36.6,1968,1,5,0.712,17,0,0.333,11.0,0
3.550655920138717,2,4,1,1,0,1,1,0,1259.63,117644,1,3,0.86,16,0,0.5,7.5,1
4.826630687777335,1,2,2,0,0,0,0,1,36.34,2201,0,0,0.676,19,0,0.5,5.0,1
4.977223887387101,4,5,4,0,0,0,0,0,14.39,1093,0,0,0.926,20,0,0.8,8.0,1
7.497051994545213,0,1,3,0,0,0,0,0,9.44,1867,1,4,0.808,19,0,0.0,0.0,0
7.563997836287513,6,8,2,0,1,0,0,0,124.18,11761,1,2,0.882,9,0,0.75,13.0,1
4.271813576371011,4,5,2,0,0,0,1,0,0.38,66,1,2,0.887,16,1,0.8,9.5,0
3.596638154588005,3,4,4,0,1,0,1,2,11.41,1826,0,2,0.879,15,0,0.75,14.5,1
7.869450387812576,0,2,5,0,1,0,0,1,6.82,791,0,0,0.905,12,0,0.0,4.0,0
8.463106839874744,5,5,2,1,0,1,3,2,65.81916037270716,3154,1,6,0.935,18,1,0.6,12.5,0
7.885452905090944,1,3,1,1,1,0,2,1,8.08,975,1,7,0.776,24,0,0.333,11.0,0
7.333758567263647,5,6,2,0,1,1,0,2,93.86590181757919,6362,1,4,0.902,12,1,0.667,9.0,0
7.500354843495797,2,4,0,0,0,1,0,0,3.0,274,1,5,0.969,18,1,0.5,4.0,0
6.335081304933339,4,6,5,0,1,1,1,0,7.65,962,0,1,0.921,18,0,0.667,10.5,1
7.5514184167572145,3,4,3,0,1,1,0,2,61.77888899639583,2818,1,6,0.872,16,1,0.5,5.0,0
8.268809074387974,3,3,2,0,0,1,0,1,18.199885697839616,1240,1,5,0.911,23,1,0.667,4.0,0
7.985551299762886,4,6,3,0,1,1,0,0,0.72,116,0,2,0.935,16,0,0.667,9.0,0
5.273856459179921,0,1,3,0,0,1,0,0,4.8136554399355616,732,0,0,0.934026332801055,15,0,0.0,0.0,0
5.695749083168741,0,2,2,0,1,1,0,0,1.7630094399405747,655,0,0,0.923616470563633,10,1,0.5,3.0,0
7.628127659409684,4,5,2,1,0,1,3,2,26.05212118415817,2928,1,4,0.916,10,0,0.6,12.5,0
5.273110788203883,2,3,3,0,0,0,0,1,86.64,12285,0,1,0.951,18,0,0.667,7.0,1
3.6278357735801436,0,1,4,1,1,0,0,1,4184.444627577825,14829292,0,0,0.883,13,1,0.0,6.0,1
7.786853185478052,3,5,1,1,1,1,2,2,62.010706757457775,1538,1,6,0.864,12,1,0.8,14.0,0
5.315411481993175,1,3,4,0,1,1,0,1,11.3,934,1,4,0.852,12,0,0.333,6.0,0
7.23245702559012,0,2,1,0,0,0,0,0,38.56,7332,0,0,0.821,12,1,0.0,0.0,1
3.7322520635999887,2,4,2,0,1,0,0,0,39.7,5467,1,4,0.882,13,0,0.5,5.0,0
5.421775192620674,1,2,3,0,0,0,0,0,12.74,2490,1,1,0.989,11,0,0.5,2.0,0
5.8842173415890855,3,4,7,0,1,0,1,1,110.15,6135,1,3,0.967,21,1,0.75,11.5,1
6.467962267770243,1,2,1,0,0,0,0,1,144.64,8465,1,2,0.955,13,0,0.5,5.0,0
7.324416307710641,4,6,7,1,1,0,0,0,5174.020566101648,4242312,1,2,0.677,9,1,0.667,9.0,1
7.202078173948446,4,5,3,0,0,1,1,2,69.70472400833317,4151,1,5,0.873,18,1,0.6,16.5,0
7.917323814930303,4,5,2,1,1,0,1,1,3.33,277,1,2,0.955,13,1,0.8,15.5,1
6.026033867883191,4,5,1,1,0,0,3,1,289.95,34724,1,3,0.832,10,0,0.8,17.5,1
6.393377042861967,0,4,3,0,1,1,0,0,4.722165398775756,159,0,0,0.9216198621362506,13,0,0.5,5.0,0
5.1264756701151555,0,1,1,0,0,1,0,0,26.08,1919,0,2,0.886,16,1,0.0,0.0,0
5.8821849317189585,0,4,1,1,0,1,4,0,4.5356537637290435,128,0,0,0.9431583405025451,18,0,0.5,12.0,0
3.871784727125294,0,2,4,0,0,1,0,1,5941.318275812938,36342175,0,0,0.93,13,1,0.0,3.0,1
4.900186647752447,3,5,4,0,0,1,0,0,21.55,3316,1,3,0.841,12,0,0.6,6.0,0
4.658358506917217,0,1,5,0,0,1,0,0,0.8179008992021414,775,0,0,0.9806592198571626,13,0,0.0,0.0,0
7.8678931205338865,1,3,2,0,1,0,0,3,6.2,452,1,3,0.83,19,1,0.333,12.0,0
7.462975581441917,1,3,5,0,0,1,0,1,33.68,3700,0,2,0.927,15,0,0.333,5.0,0
6.382582377571268,1,2,2,0,1,1,0,1,5.46,494,1,1,0.887,16,0,0.5,6.0,0
6.199926898579277,5,7,3,1,1,0,1,0,6518.484324402295,16824885,1,4,0.73,18,1,0.857,14.5,1
5.984817414529151,3,4,2,1,1,0,0,0,99.56,6327,1,1,0.733,17,1,0.75,9.0,1
6.944426510250453,0,2,4,0,1,0,1,0,89.07,9803,1,3,0.834,21,1,0.0,2.5,0
5.386420815523113,0,2,4,0,1,0,0,1,261.54,51597,1,4,0.863,15,1,0.0,4.0,1
4.50075122122405,1,3,4,0,0,1,0,2,33.81,3660,0,2,0.96,18,0,0.333,8.0,1
7.765185273806264,4,1,4,1,1,1,0,2,75.16681846326807,594,1,6,0.733,14,0,0.0,6.0,0
4.18598117386833,0,1,3,0,1,0,1,2,7656.615020631919,23346571,0,0,0.926,18,0,0.0,8.5,1
8.18106123121845,4,5,2,1,1,0,0,0,118.48,8212,1,1,0.863,15,1,0.8,11.0,1
5.797233842029933,0,1,5,0,1,0,0,0,1039.54,111988,1,4,0.87,11,0,0.0,1.0,1
8.012170461920647,4,3,3,1,1,1,1,2,85.8603269174785,6675,1,7,0.821,27,1,0.333,6.5,0
3.7904180608409974,6,6,4,1,1,0,0,1,5129.6362151537305,3390313,1,4,0.779,20,1,0.667,11.0,1
5.239046039510965,0,1,2,0,1,1,0,0,3.25,174,0,0,0.717,19,0,0.0,1.0,0
6.037059693589044,1,3,5,0,1,1,0,0,14.47,2086,1,5,0.795,19,0,0.333,3.0,0
4.204621124873813,0,2,4,1,1,1,1,1,564.74,111854,1,4,0.891,17,0,0.0,7.5,0
6.579927251300895,0,1,3,1,0,0,2,0,31.13,3504,1,3,0.8,17,0,0.0,5.0,0
5.023395695490204,4,5,3,0,0,1,0,0,384.54,63309,1,3,0.688,9,0,0.8,8.0,1
8.026753209780319,0,3,7,0,1,1,1,0,4.873078987662255,339,0,0,0.975378754887944,21,1,0.333,4.5,0
3.527610585618012,1,2,4,0,1,0,1,2,47.54,7935,1,5,0.88,18,1,0.5,10.5,1
3.5227900972918285,0,2,6,0,0,1,0,0,3157.825050632642,13384796,0,0,0.906,13,1,0.0,0.0,1
6.454166302845054,0,2,3,0,1,0,0,0,6636.93,560330,1,1,0.907,13,1,0.0,1.0,1
6.350305850446825,0,2,3,0,1,1,0,0,0.44020505163185186,373,0,0,0.9880488816849391,18,0,0.5,9.0,0
8.314960019294972,1,3,2,0,0,1,0,0,718.78,37817,1,2,0.857,13,0,0.333,2.0,0
7.552269907907336,3,7,2,0,0,1,0,2,52.95183045502617,485,1,6,0.736,24,1,0.714,16.0,0
6.551668916554592,0,2,6,0,0,0,1,1,67.22,10366,0,0,0.758,12,0,0.0,4.5,0
4.1241040698342415,0,4,2,0,0,1,0,0,2.1737854653991193,154,0,0,0.9477092653592453,15,0,0.75,6.0,0
