num_joins,num_where,has_order_by,has_group_by,query_length,rows_examined,hour_of_day,day_of_week,num_subqueries,num_predicates,num_aggregates,is_peak_hour,is_slow,has_index_used
1,1,0,0,208,287,14,5,0,2,0,1,0,0
1,1,0,0,253,97,14,5,0,1,0,1,1,1
1,1,0,0,219,381,14,5,0,2,0,1,0,1
0,1,0,0,238,537,14,5,0,3,0,1,1,1
0,2,0,0,264,870,14,5,0,0,0,1,1,1
1,1,0,0,237,62805,14,5,0,1,0,1,1,0
0,1,0,0,1098,93412,14,5,0,0,0,1,1,0
0,1,0,0,136,80949,14,5,0,5,0,1,1,0
1,1,0,0,243,481,14,5,0,2,0,1,0,0
0,1,0,0,150,3669,14,5,0,0,0,1,0,1
0,1,0,0,102,1164,14,5,0,0,0,1,0,1
0,1,0,0,126,709,14,5,0,5,0,1,1,1
0,2,0,0,259,608,14,5,0,0,0,1,1,1
1,1,0,0,193,238,14,5,0,1,0,1,1,0
0,1,0,0,648,354,14,5,0,0,0,1,0,1
0,2,0,0,198,1768,14,5,0,0,0,1,1,1
0,2,0,0,182,28255,14,5,0,0,0,1,1,0
0,1,0,0,143,42946,14,5,0,5,0,1,1,0
0,1,0,0,93,244,15,4,0,0,0,1,0,1
1,1,0,0,123,6557,14,5,0,0,0,1,1,0
1,1,1,0,228,112,14,5,0,3,0,1,0,1
0,0,1,0,51,474,1,5,0,0,0,0,1,1
0,1,0,0,705,523,14,5,0,0,0,1,1,0
0,2,0,0,255,44319,14,5,0,0,0,1,1,0
0,1,0,0,2000,556,14,5,0,0,0,1,1,1
0,2,0,0,191,94156,14,5,0,0,0,1,1,0
1,1,0,0,267,19691,14,5,0,1,0,1,1,0
0,1,0,0,161,55463,14,5,0,3,0,1,1,0
0,1,0,0,50,177,14,5,0,0,0,1,0,1
0,1,0,0,1367,391,14,5,0,0,0,1,1,1
0,1,0,0,50,4616,14,5,0,0,0,1,0,1
0,1,0,0,98,442,14,5,0,0,0,1,0,0
0,1,0,0,131,1683,14,5,0,3,0,1,0,0
0,2,0,0,175,8,14,5,0,0,0,1,1,1
3,1,1,1,692,77309,23,4,0,1,5,0,1,1
1,1,0,0,225,475,14,5,0,2,0,1,0,1
0,1,0,0,50,3132,14,5,0,0,0,1,0,0
0,1,0,0,107,464,14,5,0,0,0,1,0,1
0,2,0,0,266,11263,14,5,0,0,0,1,1,0
0,2,0,0,260,53142,14,5,0,0,0,1,1,0
1,1,0,0,252,79922,14,5,0,1,0,1,1,0
0,1,0,0,687,3565,14,5,0,0,0,1,0,0
1,1,0,0,221,189,14,5,0,2,0,1,0,0
1,1,0,0,237,493,14,5,0,2,0,1,0,1
0,1,0,0,2000,88917,14,5,0,0,0,1,1,0
1,1,0,0,255,10,14,5,0,2,0,1,0,1
0,1,0,0,615,2389,14,5,0,0,0,1,0,0
1,1,0,0,254,22,14,5,0,2,0,1,0,1
1,1,0,0,254,118,14,5,0,2,0,1,0,1
0,1,0,0,1101,512,14,5,0,0,0,1,1,1
0,1,0,0,96,281,14,5,0,0,0,1,0,1
0,1,0,0,58,3618,14,5,0,1,1,1,0,1
0,1,0,0,50,4818,14,5,0,0,0,1,0,0
0,2,0,0,224,81794,14,5,0,0,0,1,1,0
0,1,0,0,239,26993,14,5,0,3,0,1,1,0
0,1,0,0,621,1459,14,5,0,0,0,1,0,0
0,0,0,0,212,13324,1,5,0,0,0,0,1,0
1,1,0,0,226,93981,14,5,0,1,0,1,1,0
0,1,0,0,50,318,14,5,0,0,0,1,0,1
0,1,0,0,50,429,14,5,0,0,0,1,0,1
0,1,0,0,111,68,14,5,0,0,0,1,0,1
0,1,0,0,122,63432,14,5,0,1,0,1,1,0
0,1,0,0,2000,27162,14,5,0,0,0,1,1,0
1,1,0,0,227,345,14,5,0,2,0,1,0,1
0,1,0,0,82,133,14,5,0,0,0,1,0,1
0,1,0,0,80,252,14,5,0,0,0,1,0,1
0,1,0,0,608,657,14,5,0,0,0,1,0,1
0,1,0,0,173,71203,14,5,0,3,0,1,1,0
1,1,0,0,234,50,14,5,0,2,0,1,0,1
1,1,0,0,263,33383,14,5,0,1,0,1,1,0
0,1,0,0,127,42,14,5,0,0,0,1,0,1
0,1,0,0,1703,21786,14,5,0,0,0,1,1,0
0,1,0,0,98,481,14,5,0,1,1,1,0,0
0,1,0,0,50,425,14,5,0,1,0,1,0,1
0,1,0,0,906,388,14,5,0,0,0,1,1,1
0,1,0,0,94,140,14,5,0,0,0,1,0,1
1,1,0,0,210,24,14,5,0,2,0,1,0,1
0,1,0,0,50,385,14,5,0,0,0,1,0,1
